source	text	current_code	corrected_code	defect	regression
wanxiang	更为严格	gēng wéi yán gé	gèng wéi yán gé	比较副词“更为”误标为gēng	full=gengweiyange; old-code-absent
wanxiang	更为严重	gēng wéi yán zhòng	gèng wéi yán zhòng	比较副词“更为”误标为gēng	full=gengweiyanzhong; old-code-absent
wanxiang	更为丰富	gēng wéi fēng fù	gèng wéi fēng fù	比较副词“更为”误标为gēng	full=gengweifengfu; old-code-absent
wanxiang	更为便捷	gēng wéi biàn jié	gèng wéi biàn jié	比较副词“更为”误标为gēng	full=gengweibianjie; old-code-absent
wanxiang	更为全面	gēng wéi quán miàn	gèng wéi quán miàn	比较副词“更为”误标为gēng	full=gengweiquanmian; old-code-absent
wanxiang	更为准确	gēng wéi zhǔn què	gèng wéi zhǔn què	比较副词“更为”误标为gēng	full=gengweizhunqu; old-code-absent
wanxiang	更为出色	gēng wéi chū sè	gèng wéi chū sè	比较副词“更为”误标为gēng	full=gengweichuse; old-code-absent
wanxiang	更为合理	gēng wéi hé lǐ	gèng wéi hé lǐ	比较副词“更为”误标为gēng	full=gengweiheli; old-code-absent
wanxiang	更为合适	gēng wéi hé shì	gèng wéi hé shì	比较副词“更为”误标为gēng	full=gengweiheshi; old-code-absent
wanxiang	更为复杂	gēng wéi fù zá	gèng wéi fù zá	比较副词“更为”误标为gēng	full=gengweifuza; old-code-absent
wanxiang	更为安全	gēng wéi ān quán	gèng wéi ān quán	比较副词“更为”误标为gēng	full=gengweianquan; old-code-absent
wanxiang	更为强大	gēng wéi qiáng dà	gèng wéi qiáng dà	比较副词“更为”误标为gēng	full=gengweiqiangda; old-code-absent
wanxiang	更为成熟	gēng wéi chéng shú	gèng wéi chéng shú	比较副词“更为”误标为gēng	full=gengweichengshu; old-code-absent
wanxiang	更为方便	gēng wéi fāng biàn	gèng wéi fāng biàn	比较副词“更为”误标为gēng	full=gengweifangbian; old-code-absent
wanxiang	更为明显	gēng wéi míng xiǎn	gèng wéi míng xiǎn	比较副词“更为”误标为gēng	full=gengweimingxian; old-code-absent
wanxiang	更为普遍	gēng wéi pǔ biàn	gèng wéi pǔ biàn	比较副词“更为”误标为gēng	full=gengweipubian; old-code-absent
wanxiang	更为有效	gēng wéi yǒu xiào	gèng wéi yǒu xiào	比较副词“更为”误标为gēng	full=gengweiyouxiao; old-code-absent
wanxiang	更为深刻	gēng wéi shēn kè	gèng wéi shēn kè	比较副词“更为”误标为gēng	full=gengweishenke; old-code-absent
wanxiang	更为灵活	gēng wéi líng huó	gèng wéi líng huó	比较副词“更为”误标为gēng	full=gengweilinghuo; old-code-absent
wanxiang	更为简单	gēng wéi jiǎn dān	gèng wéi jiǎn dān	比较副词“更为”误标为gēng	full=gengweijiandan; old-code-absent
wanxiang	更为精准	gēng wéi jīng zhǔn	gèng wéi jīng zhǔn	比较副词“更为”误标为gēng	full=gengweijingzhun; old-code-absent
wanxiang	更为舒适	gēng wéi shū shì	gèng wéi shū shì	比较副词“更为”误标为gēng	full=gengweishushi; old-code-absent
wanxiang	更为适合	gēng wéi shì hé	gèng wéi shì hé	比较副词“更为”误标为gēng	full=gengweishihe; old-code-absent
wanxiang	更为重要	gēng wéi zhòng yào	gèng wéi zhòng yào	比较副词“更为”误标为gēng	full=gengweizhongyao; old-code-absent
wanxiang	更为高效	gēng wéi gāo xiào	gèng wéi gāo xiào	比较副词“更为”误标为gēng	full=gengweigaoxiao; old-code-absent
wanxiang	更深层	gēng shēn céng	gèng shēn céng	程度比较短语误标为gēng	full=gengshenceng; old-code-absent
wanxiang	更深处	gēng shēn chù	gèng shēn chù	程度比较短语误标为gēng	full=gengshenchu; old-code-absent
wanxiang	更深厚	gēng shēn hòu	gèng shēn hòu	程度比较短语误标为gēng	full=gengshenhou; old-code-absent
wanxiang	更深刻	gēng shēn kè	gèng shēn kè	程度比较短语误标为gēng	full=gengshenke; old-code-absent
wanxiang	更深入	gēng shēn rù	gèng shēn rù	程度比较短语误标为gēng	full=gengshenru; old-code-absent
wanxiang	更深远	gēng shēn yuǎn	gèng shēn yuǎn	程度比较短语误标为gēng	full=gengshenyuan; old-code-absent
wanxiang	更易懂	gēng yì dǒng	gèng yì dǒng	程度比较短语误标为gēng	full=gengyidong; old-code-absent
wanxiang	更正常	gēng zhèng cháng	gèng zhèng cháng	程度比较短语误标为gēng	full=gengzhengchang; old-code-absent
wanxiang	更深层次	gēng shēn céng cì	gèng shēn céng cì	程度比较短语误标为gēng	full=gengshencengci; old-code-absent
wanxiang	更深入地	gēng shēn rù dì	gèng shēn rù dì	程度比较短语误标为gēng	full=gengshenrudi; old-code-absent
wanxiang	更深一步	gēng shēn yí bù	gèng shēn yí bù	程度比较短语误标为gēng	full=gengshenyibu; old-code-absent
wanxiang	更深一层	gēng shēn yì céng	gèng shēn yì céng	程度比较短语误标为gēng	full=gengshenyiceng; old-code-absent
wanxiang	更深层的原因	gēng shēn céng de yuán yīn	gèng shēn céng de yuán yīn	程度比较短语误标为gēng	full=gengshencengdeyuanyin; old-code-absent
wanxiang	更深层次的原因	gēng shēn céng cì de yuán yīn	gèng shēn céng cì de yuán yīn	程度比较短语误标为gēng	full=gengshencengcideyuanyin; old-code-absent
wanxiang	更深入点	gēng shēn rù diǎn	gèng shēn rù diǎn	程度比较短语误标为gēng	full=gengshenrudian; old-code-absent
wanxiang	乂	aì	ài	声调符号错标在i上（标调规则a优先）；zi表与L1同源	full=ai; old-code-absent
wanxiang	温庭筠	wēn tíng jūn	wēn tíng yún	“筠”在温庭筠姓名中应读yún；锁定cuoyin源误标jūn	full=wentingyun; old-code-absent
rime_ice	丙泊酚注射液	bǐng pō fēn zhù shè yè	bǐng bó fēn zhù shè yè	药名“丙泊酚”的“泊”应读bó；锁定rime-ice源误标pō	full=bingbofenzhusheye; old-code-absent
rime_ice	希尔瓦娜斯	xi er wa na si	xī ěr wǎ nà sī	锁定ext源只有无声调拼音；逐字多音统计推断不作为接纳证据	full=xierwanasi; reviewed-only
rime_ice	希尔瓦娜斯风行者	xi er wa na si feng xing zhe	xī ěr wǎ nà sī fēng xíng zhě	锁定ext源只有无声调拼音；专名扩展必须沿用人工审读读音	full=xierwanasifengxingzhe; reviewed-only
