pinyin_key	rank	candidate
anquantao	1	condom
anwaer	3	Anwar bin Ibrahim (1947-), Malaysian politician, deputy prime minister 1993-1998, imprisoned 1999-2004 on charges including alleged homosexual acts, subsequently overturned
aoshikegezonghezheng	1	facial digital genital syndrome
aoshikegezonghezheng	2	facial-digital-genital syndrome
aosikegezhonghezheng	1	facial digital genital syndrome
aosikegezhonghezheng	2	facial-digital-genital syndrome
aosikegezonghezeng	1	facial digital genital syndrome
aosikegezonghezeng	2	facial-digital-genital syndrome
aosikegezonghezhen	1	facial digital genital syndrome
aosikegezonghezhen	2	facial-digital-genital syndrome
aosikegezonghezheng	1	facial digital genital syndrome
aosikegezonghezheng	2	facial-digital-genital syndrome
aqt	1	condom
askgzhz	1	facial digital genital syndrome
askgzhz	2	facial-digital-genital syndrome
awe	5	Anwar bin Ibrahim (1947-), Malaysian politician, deputy prime minister 1993-1998, imprisoned 1999-2004 on charges including alleged homosexual acts, subsequently overturned
ayuweishi	2	Semen Trachyspermi coptici
ayuweisi	2	Semen Trachyspermi coptici
ayws	2	Semen Trachyspermi coptici
azcl	1	erection material
azcx	3	erection procedure
azcx	4	erection sequence
azf	1	erection cost
azff	3	method of erection
azg	4	erection worker
azgc	2	erection work
azgc	3	erection works
azlj	1	erection joint
azsb	3	erection unit
azwz	3	place of erection
babituoshuan	2	idiot pills
babituosuan	2	idiot pills
badanxingren	2	semen amygdali
badanxingreng	2	semen amygdali
badanxinren	2	semen amygdali
badoushuang	4	semen crotonis
badoushuang	5	semen crotonis pulveratum
baibiandou	5	semen dolichoris
baichi	2	idiot
baichi	18	an idiot
baichi	21	the idiot
baici	6	idiot
baici	22	an idiot
baici	25	the idiot
baidingxiang	1	faeces passeris
baidingxiang	2	sparrow faeces
baifen	3	heroin
baifeng	5	heroin
baihuacaizhi	1	semen gynandropsis
baihuacaizhi	4	semen cleomes gynaidrae
baihuacaizi	1	semen gynandropsis
baihuacaizi	4	semen cleomes gynaidrae
baihuachaizi	1	semen gynandropsis
baihuachaizi	4	semen cleomes gynaidrae
baijiezhi	1	semen sinapis
baijiezhi	2	semen sinapis alba
baijiezi	1	semen sinapis
baijiezi	2	semen sinapis alba
baimian	2	heroin
baimianer	1	heroin
baimu	1	moron
baisaishibin	1	ophthalmooral genital syndrome
baisaishibin	2	ophthalmooral-genital syndrome
baisaishibing	1	ophthalmooral genital syndrome
baisaishibing	2	ophthalmooral-genital syndrome
baisaisibing	1	ophthalmooral genital syndrome
baisaisibing	2	ophthalmooral-genital syndrome
baisaizhonghezheng	4	oculo-oral-genital syndrome
baisaizonghezeng	4	oculo-oral-genital syndrome
baisaizonghezhen	4	oculo-oral-genital syndrome
baisaizonghezheng	4	oculo-oral-genital syndrome
baishaishibing	1	ophthalmooral genital syndrome
baishaishibing	2	ophthalmooral-genital syndrome
baishaizonghezheng	4	oculo-oral-genital syndrome
baizhuo	1	gonorrhea
baizhuo	2	gonorrhea (TCM term)
baizuo	4	gonorrhea
baizuo	5	gonorrhea (TCM term)
bancanbaoyibuxia	1	retention of placenta after abortion
bancanfutong	1	abdominalgia following abortion
banchanbaoyibuxia	1	retention of placenta after abortion
banchanfutong	1	abdominalgia following abortion
baofa	60	shit in high cotton
baolu	29	undress
baonu	53	undress
baoxiantao	1	condom
baoyin	11	piss up
baoying	40	piss up
bayuebari	1	bat-shit crazy
bbts	2	idiot pills
bbz	28	a pile of shit
bc	14	idiot
bcbybx	1	retention of placenta after abortion
bcf	8	take-no-shit
bcft	3	abdominalgia following abortion
bd	34	idiot
bdxr	4	semen amygdali
beibize	2	a pile of shit
beibizhe	2	a pile of shit
beigongquxi	15	eat shit
beipan	33	shit on
beiqieteshizhonghezheng	2	ophthalmo oro genital syndrome
beiqieteshizhonghezheng	3	ophthalmo-oro-genital syndrome
beiqieteshizonghezeng	2	ophthalmo oro genital syndrome
beiqieteshizonghezeng	3	ophthalmo-oro-genital syndrome
beiqieteshizonghezhen	2	ophthalmo oro genital syndrome
beiqieteshizonghezhen	3	ophthalmo-oro-genital syndrome
beiqieteshizonghezheng	2	ophthalmo oro genital syndrome
beiqieteshizonghezheng	3	ophthalmo-oro-genital syndrome
beiqietesizonghezheng	2	ophthalmo oro genital syndrome
beiqietesizonghezheng	3	ophthalmo-oro-genital syndrome
beiroulinde	2	raped
beiroulingde	2	raped
beirouninde	2	raped
bendan	2	idiot
bengdan	2	idiot
benghuo	1	idiot
bengreng	19	moron
bengyishuanggua	1	db retard
benhuo	1	idiot
benren	19	moron
benyishuanggua	1	db retard
bf	57	heroin
bfh	44	no shit
bgqx	16	eat shit
bhcz	1	semen gynandropsis
bhcz	4	semen cleomes gynaidrae
bianfu	27	undress
bianliao	7	to urinate or defecate
bianniao	1	to urinate or defecate
biantaoren	2	semen amygdalae
biantaoreng	2	semen amygdalae
biaoshibuman	1	pitch a bitch
biaoshifengnu	1	shit
biaoshifenlu	1	shit
biaoshifennu	1	shit
