pinyin_key	candidate
ac	unlicensed (unregistered) prostitute
afr	opium
afurong	opium
aiguozhe	patria
aiya	hela
aj	torture
als	doctor - assisted suicide
ancang	unlicensed (unregistered) prostitute
ancang	unlicensed prostitute
anchang	unlicensed (unregistered) prostitute
anchang	unlicensed prostitute
anleshi	doctor - assisted suicide
anlesi	doctor - assisted suicide
annesi	doctor - assisted suicide
anquandai	securing strip
anquandao	safety strip
anquandedai	safety strip
antai	anti-abortion measuccessful gestation
anzhuang	erection
anzhuangfei	cost of erection
anzhuangtu	erection-diagram
aojian	torture
ap	opium
ap	opium (loanword)
apf	opium powder
apf	opium powdered
apf	powdered opium
apian	crude opium
apian	gum opium
apian	opium
apian	opium (loanword)
apianfen	opium powder
apianfen	opium powdered
apianfen	powdered opium
apianfeng	opium powder
apianfeng	opium powdered
apianfeng	powdered opium
apianquanjian	concentrated opium
apianquanjian	opium alkaloias
apianquanjian	opium alkaloics
apianquanjian	opium concentrate
apianquanjian	opium concentratum
apianshouti	kappa opium receptor
apiansouti	kappa opium receptor
apianzhiji	opium preparation
apianzhiji	opium preparations
apianziji	opium preparation
apianziji	opium preparations
apqj	concentrated opium
apqj	opium alkaloias
apqj	opium alkaloics
apqj	opium concentrate
apqj	opium concentratum
apst	kappa opium receptor
apzj	opium preparation
apzj	opium preparations
aqd	safety strip
aqd	securing strip
aqdd	safety strip
azd	erection crew
azd	erection force
azf	cost of erection
azt	erection diagram
azt	erection drawing
azt	erection plan
azt	erection-diagram
badou	semen crotonis
badou	semen crotonis tiglii
badou	semen tiglii
bagua	octavian
baibiandou	lablab semen album
baibiandou	semen dolichoris album
baibiandou	semen lablab album
baicaixingyoucai	turnip type rape
baicaixinyoucai	turnip type rape
baichaixingyouchai	turnip type rape
baiguo	ginkgo semen
baiguo	semen ginkgo
baijiezhi	semen brassicae albae
baijiezhi	semen sinapis albae
baijiezhi	sinapis albae semen
baijiezi	semen brassicae albae
baijiezi	semen sinapis albae
baijiezi	sinapis albae semen
baili	white diarrhea
baini	white diarrhea
bairen	naked sword
baireng	naked sword
baizhi	semen biotae
baizhiren	platycladi semen
baizhiren	semen biotae shelled
baizhiren	semen boitae
baizhiren	semen platycladi
