text	frequency
Americanness	39602
Einsteinian	43256
Emersonian	41709
GI	7601
Jamesian	42722
Klingon	24440
Okinawan	47030
Primus	27659
Proustian	47363
Reaganesque	40224
Sambo	43831
Slurpee	42267
Timorese	32461
Tyrolean	47855
Waspy	46014
Weberian	41396
Xeroxed	38951
Zairean	41867
abash	49621
abrahamic	48023
abrasiveness	49467
abridgement	47150
abstainer	40022
abstractionist	44074
accommodationist	38998
acculturate	28283
acculturative	37942
adenoidal	48127
adumbrate	41568
aetiology	45739
affectless	48911
affiliative	39495
affinal	42465
afterworld	47209
aggress	44622
agriculturalist	30763
ahhhh	36749
aircar	36471
alterity	34045
ambassadorship	35560
ambivalently	41968
aminoglycoside	33967
anachronistically	49745
anaesthesia	36167
anaesthetic	36432
analogize	39946
andiron	43902
anesthetized	45606
anglicized	42697
animality	47544
ansible	40000
anthologize	49908
anthropocentrism	47106
anthropologically	46933
anthropomorphize	41578
antifeminist	39788
antifungal	27275
antivenin	45160
aphoristic	49965
apnoea	46957
apophatic	45986
apotropaic	48439
apparatchik	31858
applique	35149
appliqued	49480
appropriator	36527
aproned	47406
archrival	32991
arcminute	39031
arcsecond	28948
arriviste	48935
artefact	39981
artfulness	48769
artilleryman	39861
asphyxiate	31796
audiologic	42763
austerely	49289
australopithecine	44459
autobiographer	44122
autoworker	31583
bachelorhood	43210
backflow	48415
backroom	25252
balefully	39486
balkanized	47176
ballcarrier	47089
bandbox	47600
bandgap	39807
barbeque	28989
bargainer	44276
basketful	45139
bastardize	47988
beachy	49927
beanpole	43744
beatifically	46684
beatify	45070
bedazzle	42038
bedcover	33234
bedeck	28716
bedsheet	23036
bedsore	42967
bedspring	35752
bellyful	48159
belowground	40827
bemuse	49515
beribboned	41838
bestride	45934
betoken	38965
bicoastal	39305
bilateralism	47824
bioaerosol	44616
biomechanical	23810
biospherian	49557
birdcall	45185
birdshot	47373
blackfly	40992
blacktail	48150
blandishment	33625
blase	26362
blearily	40055
blondish	49224
blowsy	46268
blubbery	46745
boatlift	48060
bobblehead	36568
bolivarian	45336
bollock	39879
bomblet	45970
boombox	36244
boomlet	39704
bottlenose	37228
bowhunting	49090
bowrider	44366
boxful	49392
boxlike	34226
boyishly	36437
brachialis	48973
brashly	42182
breastwork	45901
brickbat	44551
brownshirt	49984
bumbler	44873
bumptious	45427
bunkmate	47099
buoyantly	47161
burb	33542
burglarize	27075
burgle	45640
bushwhack	29731
cadge	41262
calcify	47774
calender	41477
canape	33582
cannister	40066
canonist	47512
capitated	43285
caponata	49946
caretaking	28622
carjack	30214
carjacker	37420
carnaval	49512
caroler	35403
carpetbag	47653
carryin	46030
carsick	48722
cartload	46424
caryatid	48437
cashflow	58
catcall	31721
caterwaul	48878
catfight	40906
cenote	46512
chainring	29857
chainstay	35647
cheeriness	46899
cheesemaker	40256
cheroot	42308
chevre	41100
chicha	49237
chickenshit	47955
