word	translation	category	reason	hallelujah_original	frequency
Esperanto	世界语	POOR	very short translation: '世界语'		0
amen	int. 祈祷的结束语；赞成	POOR	English leftover	int. [基督教]阿门	2400153
annoyed	adj. 恼怒的；气恼的；动词annoy的过去式和过去分词.	POOR	English leftover	adj. 恼怒的；气恼的|动词annoy的过去式和过去分词.	1620937
antitheses	n. 对照；正相反；对比法；名词antithesis的复数形式.	POOR	English leftover	n. 对照；正相反；对比法|名词antithesis的复数形式.	13320
anyhow	adv. 总之；无论如何；不管怎样	POOR	English leftover	adv. 无论如何；不管怎样	1521509
appliances	n. 电气用具；名词appliance的复数形式.	POOR	English leftover	n. 电气用具|名词appliance的复数形式.	23847029
asa	abbr. 美国标准协会；美国声学学会；（英国）广告标准管理局	POOR	English leftover	abbr. 广告标准局(=Advertising Standards Authority)；美国声学学会(=Acoustical Society of America)	3762120
bering	n. 白令(Vitus, 1680-1741, 丹麦航海家, 白令海及白令海峡的发现者)	POOR	English leftover	n. 白令(丹麦航海家、探险家)|n. 白令海峡	520372
blanket	n. 毛毯；覆盖物；排字版；vt. 覆盖；用毯子裹；扑灭；挡风；使包含；adj. 包含所有的；适用于所有情形的	POOR	English leftover	n. 毛毯；覆盖物；排字版|vt. 覆盖；用毯子裹；扑灭；挡风；使包含|adj. 包含所有的；适用于所有情形的	5457762
blindfold	v. 蒙住 ... 的眼睛；n. 蒙眼物；盲目；adj. 被蒙上眼睛的	POOR	English leftover	v. 蒙住 ... 的眼睛|n. 蒙眼物；盲目|adj. 被蒙上眼睛的	283959
bloomed	adj. （玻璃表面的）真空镀膜	POOR	English leftover	adj. 模糊的(无反射的)	117387
breton	adj. 布列塔尼的；布列塔尼人的；布列塔尼语的；n. 布列塔尼人；布列塔尼语	POOR	English leftover	adj. 布列塔尼的；布列塔尼人的；布列塔尼语的|n. 布列塔尼人；布列塔尼语	1285069
cagey	adj. 精明的；小心谨慎的；机灵的；有戒心的	POOR	English leftover	adj. 谨慎的；机灵的；守口如瓶的|=cagy.	66504
condensing	n. 冷凝；动词condense的现在分词形式.	POOR	English leftover	n. 冷凝|动词condense的现在分词形式.	554824
conjugal	adj. 婚姻的；结婚的；夫妻之间的	POOR	English leftover	adj. 婚姻的；夫妻间的	171770
contoured	adj. 波状外形的；动词contour的过去式和过去分词.	POOR	English leftover	adj. 波状外形的|动词contour的过去式和过去分词.	823932
cor	心脏	POOR	very short translation: '心脏'		0
cottager	住在乡下房子的人；佃农（等于cotter，cottier）	POOR	English leftover		0
craving	n. 渴望；热望；动词crave的现在分词.	POOR	English leftover	n. 渴望；热望|动词crave的现在分词.	1344800
crick	n. 痛性痉挛；v. 使痉挛；Crick.；n. 克里克（姓氏）	POOR	English leftover	n. 痛性痉挛|v. 使痉挛|Crick.|n. 克里克（姓氏）	362258
critters	n. 家畜；生物；名词critter的复数形式.	POOR	English leftover	n. 家畜；生物|名词critter的复数形式.	1055985
crushers	n. 压碎器（crusher的复数）	POOR	English leftover	n. 压碎器（crusher的复数）	236297
darkest	adj. 黑暗的；深色的；n. 黑暗；暗处；深色调；v. 使变黑；变黑	POOR	English leftover	adj. 黑暗的；深色的|n. 黑暗；暗处；深色调|v. 使变黑；变黑	1137316
dpt	abbr. 白喉； 部门； 深度； 沉积作用	POOR	English leftover	abbr. 部；科；系；车间；工作间（=department）|abbr. 宣誓证人（=deponent）|abbr. 白喉、百日咳及破伤风混合疫苗(=diptheria；pertussis；tetanus)	665373
dyer	n. 染房；染工；Dyer.；n. 戴尔	POOR	English leftover	n. 染房；染工|Dyer.|n. 戴尔(人名)	1645507
efferent	adj. [医]传出的；n. 传出神经；[医]输出管	POOR	English leftover	adj. [医]传出的|n. 传出神经；[医]输出管	106045
eskimos	n. 爱斯基摩人；爱斯基摩语；adj. 爱斯基摩人的；爱斯基摩语的	POOR	English leftover	n. 爱斯基摩人；爱斯基摩语|adj. 爱斯基摩人的；爱斯基摩语的	238101
evolutive	adj. 发展的； 进化的； 演变的； 演化的	POOR	English leftover	adj. 促进发展的(促进进化的)	28575
exacting	adj. 严格的；吃力的；动词exact的现在分词形式.	POOR	English leftover	adj. 严格的；吃力的|动词exact的现在分词形式.	506966
fat	adj. 肥胖的；多脂肪的；丰满的；n. 脂肪；肥肉；vt. 使变胖	POOR	English leftover	adj. 肥胖的；多脂肪的；丰满的|n. 脂肪；肥肉|vt. 使变胖	48646296
floater	n. 漂浮者；漂浮物；临时工；非法投票人；公司发起人；floaters:眼中线状物.	POOR	English leftover	n. 漂浮者；漂浮物；临时工；非法投票人；公司发起人|(复数)floaters:眼中线状物.	248608
fogy	顽固守旧者；赶不上时代的人（等于fogey）	POOR	English leftover		0
forego	v. 放弃；在……之前；=forgo.	POOR	English leftover	v. 放弃；在……之前|=forgo.	333942
fostering	v. 哺育，养育；抱有（希望），心怀（动词foster的现在分词形式）	POOR	English leftover	v. 哺育，养育；抱有（希望），心怀（动词foster的现在分词形式）	1990009
found	v. 建立；创立；创办；熔铸；找到，发现（动词find的过去式和过去分词）	POOR	English leftover	v. 建立；创立；创办；熔铸；找到，发现（动词find的过去式和过去分词）	232005894
frazzled	adj. 疲惫的；易怒的；穿破了的；动词frazzle的过去式和过去分词形式.	POOR	English leftover	adj. 疲惫的；易怒的；穿破了的|动词frazzle的过去式和过去分词形式.	117529
greco	n. 格列柯(希腊裔西班牙宗教画画家)；pref. 表示“希腊；希腊的”	POOR	English leftover	n. 格列柯(希腊裔西班牙宗教画画家)|pref. 表示“希腊；希腊的”|=Graeco.	873704
hellenic	adj. 希腊的；希腊人的；希腊语的；n. 希腊语族	POOR	English leftover	adj. 希腊的；希腊人的；希腊语的|n. 希腊语族	1343144
hindered	v. 阻碍；打扰；adj. 后面的	POOR	English leftover	v. 阻碍；打扰|adj. 后面的	630375
hirsute	adj. 多毛的；[昆] 有粗毛的	POOR	English leftover	adj. 多毛的	475227
homing	adj. 归巢的；回家的；n. 归巢；回家；动词home的现在分词形式.	POOR	English leftover	adj. 归巢的；回家的|n. 归巢；回家|动词home的现在分词形式.	379320
horoscopes	n. 星座（horoscope的复数）；占星术	POOR	English leftover	n. 星座（horoscope的复数）；占星术	3838456
how's	怎么样	POOR	very short translation: '怎么样'		0
humour	幽默	POOR	too short for word length		0
ig	abbr. 监察主任	POOR	English leftover	abbr. 惯性制导(inertial guidance)|abbr. 总检查员(=inspector general)	3120572
imbecile	n. 心智能力极低的人；adj. 愚蠢的；傻的	POOR	English leftover	n. 心智能力极低的人|adj. 愚蠢的；傻的	102040
incognito	adj. 隐姓埋名的；化名的；adv. 隐姓埋名地；匿名地；n. 隐姓埋名；化名	POOR	English leftover	adj. 隐姓埋名的；化名的|adv. 隐姓埋名地；匿名地|n. 隐姓埋名；化名	396903
inguinal	adj. [解剖][动] 腹股沟的；鼠蹊部的	POOR	English leftover	adj. 腹股沟的	198685
intervals	n. 间隔；间歇；间隙；名词interval的复数形式.	POOR	English leftover	n. 间隔；间歇；间隙|名词interval的复数形式.	5726477
janie	n. [女子名] 詹妮 Jane,Jean,Joan,Joanna等的昵称	POOR	English leftover	n. 贾尼; 贾妮	594023
japanese	n. 日本人；日语；adj. 日本的；日本人的；日语的	POOR	English leftover	n. 日本人；日语|adj. 日本的；日本人的；日语的	52320953
jeering	adj. 嘲弄的；揶揄的；动词jeer的现在分词.	POOR	English leftover	adj. 嘲弄的；揶揄的|动词jeer的现在分词.	50002
jimmie	n. [男子名] 吉米 James的昵称	POOR	English leftover	n. 吉米	1030045
judicious	adj. 明智的；头脑精明的；判断正确的	POOR	English leftover	adj. 明智的；贤明的；审慎的	415295
jute	n. [植]黄麻纤维；Jute.；n. 朱特人（住在日德兰半岛的古代日耳曼部落的人）	POOR	English leftover	n. [植]黄麻纤维|Jute.|n. 朱特人（住在日德兰半岛的古代日耳曼部落的人）	666652
