word	translation	category	reason	hallelujah_original	frequency
abbeville	n. 阿布维尔（法国一城市）	EXCELLENT	POS	n. 阿布维尔(在法国；东经 1&#186;51' 北纬 50&#186;06')	487728
abisko	n. [瑞典] 阿比斯库	EXCELLENT	POS	n. 阿比斯库(在瑞典；东经 18&#186;50' 北纬 68&#186;21')	13603
aleichem	n. 阿萨赫姆，萨罗姆((1859-1916) 俄裔犹太幽默作家，其原用意第绪语写成的故事和剧本是音乐剧 的剧本 )	EXCELLENT	POS	n. 阿莱赫姆	35486
amherstdale	n. 阿默斯特代尔 ( 美 )	EXCELLENT	POS	n. 阿默斯特代尔(在美国；西经 81&#186;49' 北纬 37&#186;48')	18282
amygdala	n. 杏仁之类；桃子之类；n. [解] 扁桃腺	EXCELLENT	POS	n. 杏仁之类；桃子之类|n. [解] 扁桃腺	411549
anabasis	n. 前进； 军事远征，进军	EXCELLENT	POS	n. 进军；侵入；远征	18829
anglesey	n. 安格尔西岛（英国威尔士西北部一岛）	EXCELLENT	POS	n. 安格西岛	680428
apercu	n. 摘要； 概览； 一瞥； 洞悉	EXCELLENT	POS	n. 概要	28088
aporia	n. 困惑；窘迫；难题；难点	EXCELLENT	POS	n. 困惑；难题	27609
arcachon	n. [法国] 阿卡雄	EXCELLENT	POS	n. 阿卡雄(在法国；西经 1&#186;11' 北纬 44&#186;40')	80220
arlette	n. [电影]真假姻缘	EXCELLENT	POS	n. 阿莱特	50977
articulator	n. 发音之人或物；发音纠正器；接骨的人	EXCELLENT	POS	n. 发音者；发音器官	36880
atascadero	n. [美国] 阿塔斯卡德罗	EXCELLENT	POS	n. 阿塔斯卡德罗(在美国；西经 120&#186;4' 北纬 35&#186;29')	231272
athabaskan	n. 阿萨巴斯卡语系(北美)；阿萨巴斯卡人	EXCELLENT	POS	n. 阿萨巴斯卡语系(北美)；阿萨巴斯卡人|=Athabascan； Athapascan； Athapaskan.	22405
authorities	n. 当局；官方；名词authority的复数形式.	EXCELLENT	POS	n. 当局；官方|名词authority的复数形式.	23252750
avon	n. 埃文河（英国中部一河）；n. 雅芳（化妆品品牌）	EXCELLENT	POS	n. 埃文河（英国中部一河）|n. 雅芳（化妆品品牌）	6237273
backlist	n. 库存书籍目录；重版书；存书	EXCELLENT	POS	n. 库存书籍目录	109768
baden	n. 巴登（西德省名）；[纺] 巴登亚麻平布	EXCELLENT	POS	n. 巴登(德国西南部的一个历史行政区)	1490601
baeza	n. [厄瓜多尔、西班牙] 巴埃萨	EXCELLENT	POS	n. 巴埃萨(在厄瓜多尔；西经 77&#186;52' 南纬 0&#186;30')	82046
balm	n. 香油；镇痛软膏；香峰草，香树膏	EXCELLENT	POS	n. 香油；药膏	1851587
barde	n. 铠甲(保护或装饰马匹的盔甲)；vt. 给马披铠甲	EXCELLENT	POS	n. 铠甲(保护或装饰马匹的盔甲)|vt. 给马披铠甲	14315
